pathLenghth,AStar,BFS
24.87,0.000236747,0.00034856
48.61,0.000342929,0.000778662
48.61,0.000344813,0.000815886
48.61,0.000347559,0.000796974
48.61,0.000347452,0.000795
48.61,0.000362037,0.000794946
71.89,0.000610731,0.0011923
71.89,0.000636767,0.00118208
71.89,0.000612989,0.00118724
71.89,0.00084511,0.00152708
71.89,0.000631266,0.00156658
98.84,0.000828476,0.00159832
98.84,0.000818947,0.00126256
98.84,0.00082936,0.00125121
98.84,0.000822552,0.00124834
98.84,0.000820201,0.00126106
122.81,0.000974333,0.00265563
122.81,0.000939017,0.00267113
122.81,0.00126567,0.00323587
122.81,0.00128294,0.00328458
122.81,0.000941019,0.00318153
150.63,0.00119009,0.0048785
150.63,0.00120019,0.00523993
150.63,0.00137478,0.00495751
150.63,0.00118273,0.0056722
150.63,0.0011258,0.00467169
177.09,0.00182038,0.00658627
177.09,0.00177205,0.00870068
177.09,0.0011862,0.00572198
177.09,0.00166751,0.00964261
177.09,0.00179112,0.00806484
pathLenghth,AStar,BFS
15.82,0.000289129,0.000398429
15.82,0.000202807,0.000256417
15.82,0.000200208,0.000255698
15.82,0.000259663,0.0002525
15.82,0.000287295,0.00034547
24.87,0.000348054,0.000835002
24.87,0.000344465,0.000524829
24.87,0.000361052,0.000542228
24.87,0.000284616,0.000538908
24.87,0.000234504,0.000344503
48.61,0.000345564,0.000819767
48.61,0.000345061,0.000792301
48.61,0.00052249,0.000956621
48.61,0.000550807,0.00116906
48.61,0.000538738,0.00118507
71.89,0.000625092,0.00126886
71.89,0.000844441,0.00125264
71.89,0.000618795,0.00122026
71.89,0.000650036,0.00164
71.89,0.000611769,0.00121405
98.84,0.000823174,0.0012694
98.84,0.000830822,0.00125751
98.84,0.000836209,0.00124182
98.84,0.000819738,0.00124403
98.84,0.000836472,0.00125779
122.81,0.000950796,0.00261564
122.81,0.000956497,0.00262609
122.81,0.000945838,0.00269821
122.81,0.000934641,0.00277981
122.81,0.00108183,0.00291338
150.63,0.00118613,0.00501955
150.63,0.00135601,0.00523733
150.63,0.00120338,0.00597238
150.63,0.00226116,0.00553795
150.63,0.00117931,0.00496162
177.09,0.00178146,0.00794249
177.09,0.00126417,0.00768439
177.09,0.00119009,0.00553247
177.09,0.00118166,0.00552901
177.09,0.00181078,0.0075795
pathLenghth,AStar,BFS
15.82,0.000202395,0.000310924
15.82,0.000200795,0.000245737
15.82,0.000200696,0.000244473
15.82,0.000201867,0.000245698
15.82,0.000200293,0.000244151
24.87,0.000248131,0.000368569
24.87,0.000239167,0.000344913
24.87,0.000233391,0.000339047
24.87,0.000233397,0.000344482
24.87,0.000234456,0.000436206
48.61,0.000319915,0.000761565
48.61,0.000319308,0.000818572
48.61,0.000318662,0.000753823
48.61,0.000318549,0.000752727
48.61,0.000453975,0.000927297
71.89,0.000562168,0.00114118
71.89,0.000630846,0.00118902
71.89,0.000601055,0.00117903
71.89,0.000615798,0.00118471
71.89,0.00065619,0.00119928
98.84,0.000801108,0.00129591
98.84,0.000757107,0.00121873
98.84,0.00105056,0.00123652
98.84,0.000893168,0.00146035
98.84,0.000823371,0.00127377
122.81,0.000965643,0.00267656
122.81,0.000954477,0.00262406
122.81,0.000871779,0.00249751
122.81,0.000896624,0.00246184
122.81,0.000932025,0.00263375
150.63,0.001399,0.00482179
150.63,0.00111682,0.00482459
150.63,0.0011912,0.00487469
150.63,0.00110072,0.00508639
150.63,0.00160392,0.00494822
177.09,0.00138416,0.00808618
177.09,0.00134252,0.00584662
177.09,0.00120309,0.00595802
177.09,0.00126422,0.00561981
177.09,0.00117088,0.00601384
